Institución educativa,Sede educativa,Dirección física,Teléfono,Correo electrónico,Página web,Rector / Director / Coordinador,Georreferenciación (Latitud),Georreferenciación (Longitud),Jornada,Alumnos (Masculino),Alumnos (Femenino),Alumnos (Sin determinar),Maestros,Matrículas iniciales,Incremento,Desertores (masculino),Desertores (femenino),Desertores (sin determinar),Matrícula Actuales,Material construcción,Plantas,Luz Solar,Alcantarillado,Gas,Internet,Acceso para discapacitados,Zona multimedios
Institución educativa,Sede educativa,Dirección física,,Correo electrónico,Página web,Rector / Director / Coordinador,,,Jornada,,,,,,,,,,,Material construcción,,,,,,,
GERMAN GOMEZ PELAEZ,PRINCIPAL,CALLE 14 No. 9-02,3113627215,ee_1235800007801@hotmail.com,http://www.gegopel.edu.co,ANDRES MANUEL ARRIETA LOPEZ,78869577,-756737188,"MAÑANA, TARDE Y FIN DE SEMANA",1028,1054,0,64,1851,231,18,35,0,2082,Concreto,2,0,1,0,1,0,1
GERMAN GOMEZ PELAEZ,SIETE DE SEPTIEMBRE,BARRIO 7 DE SEPTIEMBRE,3113627215,ee_1235800007801@hotmail.com,http://www.gegopel.edu.co,ANDRES MANUEL ARRIETA LOPEZ,78844751,-756707865,MAÑANA Y TARDE,261,259,0,18,391,129,8,3,0,520,Concreto,1,0,0,0,0,1,1
GERMAN GOMEZ PELAEZ,SIMON BOLIVAR,KRA 7 No. 8-10 BARRIO SAN JOSE,3113627215,ee_1235800007801@hotmail.com,http://www.gegopel.edu.co,ANDRES MANUEL ARRIETA LOPEZ,78904722,-756721739,MAÑANA,85,97,0,6,126,56,1,1,0,182,Concreto,1,0,0,0,0,0,0
JOSE MARIA CORDOBA,PRINCIPAL,CALLE 7 No. 11-34 BARRIO VENDEAGUJAS,3116729880,ee_12358000021001@hotmail.com,NO,FELIX ENRIQUE SERPA MARTINEZ,78915223,-756692649,"NAÑANA, TARDE Y FIN DE SEMANA",807,914,0,51,1645,76,31,19,0,1721,Concreto,2,0,1,0,1,0,1
JOSE MARIA CORDOBA,CENTRO AMERICA,CORREG. CENTRO AMERICA,3116729880,ee_12358000021001@hotmail.com,NO,FELIX ENRIQUE SERPA MARTINEZ,0,0,MAÑANA,49,26,0,4,51,24,0,1,0,75,Concreto,1,0,0,0,0,0,0
JOSE MARIA CORDOBA,MARIA AUXILIADORA,VEREDA BUENOS AIRES ARRIBA,3116729880,ee_12358000021001@hotmail.com,NO,FELIX ENRIQUE SERPA MARTINEZ,0,0,MAÑANA,11,5,0,1,15,1,0,0,,16,Concreto,1,0,0,0,0,0,0
JOSE MARIA CORDOBA,BUENOS AIRES,VEREDA BUENOS AIRES ABAJO,3116729880,ee_12358000021001@hotmail.com,NO,FELIX ENRIQUE SERPA MARTINEZ,0,0,MAÑANA,47,28,0,4,66,9,1,1,0,75,Concreto,1,0,0,0,0,0,0
JOSE MARIA CORDOBA,LA ESPERANZA,VEREDA LA ODISEA,3116729880,ee_12358000021001@hotmail.com,NO,FELIX ENRIQUE SERPA MARTINEZ,0,0,MAÑANA,24,8,0,2,26,6,0,0,0,32,Concreto,1,0,0,0,0,0,0
JOSE MARIA CORDOBA,SANTA LUCIA,VEREDA LA IRACA,3116729880,ee_12358000021001@hotmail.com,NO,FELIX ENRIQUE SERPA MARTINEZ,0,0,MAÑANA,14,10,0,1,20,4,0,0,0,24,Concreto,1,0,0,0,0,0,0
JUAN PABLO II,PRINCIPAL,CORREGIMIENTO EL BRILLANTE,3135949897,educativajuanpablo2@gmail.com,NO,VALERIANO ANTONIO RODRIGUEZ TERAN,0,0,MAÑANA,156,131,0,11,207,80,8,10,0,287,Concreto,1,0,0,0,0,0,0
JUAN PABLO II,SAN JOSE,CORREGIMIENTO DE PUERTO CAREPA,3135949897,educativajuanpablo2@gmail.com,NO,VALERIANO ANTONIO RODRIGUEZ TERAN,0,0,MAÑANA,10,18,0,,24,4,1,0,0,28,Concreto,1,0,0,0,0,0,0
JUAN PABLO II,SAN JOSE,VEREDA PLAYA RICA,3135949897,educativajuanpablo2@gmail.com,NO,VALERIANO ANTONIO RODRIGUEZ TERAN,0,0,MAÑANA,38,48,0,4,80,6,4,0,0,86,Concreto,1,0,0,0,0,0,0
JUAN PABLO II,EL ROSARIO,VEREDA QUIROZ,3135949897,educativajuanpablo2@gmail.com,NO,VALERIANO ANTONIO RODRIGUEZ TERAN,0,0,MAÑANA,10,3,0,1,11,2,0,0,0,13,Concreto,1,0,0,0,0,0,0
JUAN PABLO II,ALFONSO SANCHEZ,CORREGIMIENTO PUERTO BELEN,3135949897,educativajuanpablo2@gmail.com,NO,VALERIANO ANTONIO RODRIGUEZ TERAN,0,0,MAÑANA,34,30,0,2,63,1,4,0,0,64,Concreto,1,0,0,0,0,0,0
JUAN PABLO II,SANTUARIO DE JESÚS,VEREDA EL GILGAL,3135949897,educativajuanpablo2@gmail.com,NO,VALERIANO ANTONIO RODRIGUEZ TERAN,0,0,MAÑANA,15,15,0,1,26,6,1,0,0,30,Concreto,1,0,0,0,0,0,0
JUAN PABLO II,SAGRADO CORAZON DE JESUS,VEREDA EL TESORO,3135949897,educativajuanpablo2@gmail.com,NO,VALERIANO ANTONIO RODRIGUEZ TERAN,0,0,MAÑANA,15,16,0,2,26,4,0,0,0,31,Concreto,1,0,0,0,0,0,0
JUAN PABLO II,UCRANIA,VEREDA UCRANIA,3135949897,educativajuanpablo2@gmail.com,NO,VALERIANO ANTONIO RODRIGUEZ TERAN,0,0,MAÑANA,7,11,0,1,19,1,1,0,0,18,Concreto,1,0,0,0,0,0,0
JUAN PABLO II,LA ESPERANZA,VEREDA CARACOLI,3135949897,educativajuanpablo2@gmail.com,NO,VALERIANO ANTONIO RODRIGUEZ TERAN,0,0,MAÑANA,18,15,0,1,23,13,0,0,0,33,Concreto,1,0,0,0,0,0,0
SANTA TERESITA,PRINCIPAL,CORREGIMIENTO DE JUAN JOSE,3135304758,ee_22358000646801@hotmail.com,NO,CENTENO GARAVITO ELKIN MANUEL,0,0,MAÑANA Y TARDE,474,409,0,30,801,82,12,6,0,883,Concreto,1,0,0,0,0,0,0
LUCILA GODOY,SEDE PRINCIPAL,CORREGIMIENTO SANTE FE LAS CLARAS,3126295777,josetomasbracamonte@hotmail.com,NO,JOSE TOMAS BRACAMONTES HERRERA,0,0,MAÑANA Y TARDE,325,297,0,26,532,90,13,18,0,622,Concreto,1,0,0,0,0,0,0
PABLO VI,SEDE PRINCIPAL,CORREGIMIENTO DE SAN JUAN,3145385409,erasmojosegomez@gmail.com,NO,ERASMO JOSE GOMEZ MONTES ,0,0,MAÑANA,308,265,0,25,,,,,,573,Concreto,1,0,0,0,0,0,0
PICA PICA VEJO ,SEDE PRINCIPAL,CORREGIMIENTO DE PICA PICA VIEJO,3145850705,elkincaro14@gmail.com,NO,ELKIN DE JESUS CARO CABALLERO,0,0,MAÑANA- UNICA,125,104,0,14,202,27,8,5,0,229,Concreto,1,0,0,0,0,0,0
PICA PICA VEJO ,LA ESPERANZA ,CORREGIMIENTO NUEVA ESPERANZA,3145850705,elkincaro14@gmail.com,NO,ELKIN DE JESUS CARO CABALLERO,0,0,MAÑANA- UNICA,156,151,0,14,271,36,4,6,0,307,Concreto,1,0,0,0,0,0,0
PICA PICA VEJO ,EL SOCORRO,VEREDA NUEVO MONTEVIDEO,3145850705,elkincaro14@gmail.com,NO,ELKIN DE JESUS CARO CABALLERO,0,0,MAÑANA- UNICA,15,11,0,2,26,0,0,1,0,26,Concreto,1,0,0,0,0,0,0
SIMON BOLIVAR,SEDE PRINCIPAL,CORREGIMIENTO TORNO ROJO,3205123734,teresa6003@outlook.com,NO,TERESA DE JESUS CERVANTES JIMENEZ,0,0,MAÑANA,262,220,0,22,442,40,7,6,0,482,Concreto,1,0,0,0,0,0,0
SIMON BOLIVAR,PUERTO UNION ,VEREDA PUERTO UNION,3205123734,teresa6003@outlook.com,NO,TERESA DE JESUS CERVANTES JIMENEZ,0,0,MAÑANA,7,9,0,1,18,2,0,1,0,16,Concreto,1,0,0,0,0,0,0
VILLANUEVA,VILLANUEVA,CORREGIMIENTO DE VILLANUEVA,3135853800,ee_223580000249001@hotmail.com,NO,IVAN DARIO LOPEZ PACHECO,0,0,MAÑANA- UNICA,166,150,0,16,,,2,1,0,316,Concreto,1,0,0,0,0,0,0
VILLANUEVA,BIJAGUALITO,VEREDA BIJKAGUALITO,3135853800,ee_223580000249001@hotmail.com,NO,IVAN DARIO LOPEZ PACHECO,0,0,MAÑANA,11,16,0,1,,,,,,27,Concreto,1,0,0,0,0,0,0
FRANCISCO JOSE DE CALDAS,SEDE PRINCIPAL,CORREGIMIENTO DE COROZALITO,3107066407,jihv15048904@gmail.com,NO,JORGE IVAN HERRERA VEGA,0,0,MAÑANA,31,32,0,3,49,14,11,27,0,63,Concreto,1,0,0,0,0,0,0
FRANCISCO JOSE DE CALDAS,EL ALACRAN,VEREDA MINA EL ALACRAN,3107066407,jihv15048904@gmail.com,NO,JORGE IVAN HERRERA VEGA,0,0,MAÑANA,60,52,0,5,105,7,0,5,0,112,Concreto,1,0,0,0,0,0,0
FRANCISCO JOSE DE CALDAS,ETNICA DONEKIA,VEREDA NEJONDO (SIN ALUMNOS TEMPORAL),3107066407,jihv15048904@gmail.com,NO,JORGE IVAN HERRERA VEGA,0,0,MAÑANA,,,0,,,,,,,,Concreto,1,0,0,0,0,0,0
FRANCISCO JOSE DE CALDAS,EL PORVENIR,VEREDA SAN JUAN MEDIO,3107066407,jihv15048904@gmail.com,NO,JORGE IVAN HERRERA VEGA,0,0,MAÑANA,24,10,0,2,30,4,0,0,0,34,Concreto,1,0,0,0,0,0,0
FRANCISCO JOSE DE CALDAS,EL SALVADOR,VEREDA BUCARAMANGA,3107066407,jihv15048904@gmail.com,NO,JORGE IVAN HERRERA VEGA,0,0,MAÑANA,4,9,0,1,14,0,1,2,0,13,Concreto,1,0,0,0,0,0,0
FRANCISCO JOSE DE CALDAS,EL TAMBO,VEREDA EL TAMBO,3107066407,jihv15048904@gmail.com,NO,JORGE IVAN HERRERA VEGA,0,0,MAÑANA,7,4,0,1,6,0,0,1,0,11,Concreto,1,0,0,0,0,0,0
FRANCISCO JOSE DE CALDAS,GERMAN GOMEZ PELAEZ,VEREDA LAS CLARAS,3107066407,jihv15048904@gmail.com,NO,JORGE IVAN HERRERA VEGA,0,0,MAÑANA,7,3,0,1,10,0,3,1,0,10,Concreto,1,0,0,0,0,0,0
FRANCISCO JOSE DE CALDAS,CANDELARIA,VEREDA LUCAS ARRIBA,3107066407,jihv15048904@gmail.com,NO,JORGE IVAN HERRERA VEGA,0,0,MAÑANA,12,8,0,1,12,8,1,1,0,20,Concreto,1,0,0,0,0,0,0
FRANCISCO JOSE DE CALDAS,LA ESPERANZA,VEREDA LUCAS MEDIO,3107066407,jihv15048904@gmail.com,NO,JORGE IVAN HERRERA VEGA,0,0,MAÑANA,17,16,0,1,28,5,0,1,0,33,Concreto,1,0,0,0,0,0,0
