X,Y,objectid,codigo_via,pr,distanciap,nombre,administra,territoria,latsig,longsig,cat_1,cat_4,cat_5,cat_6,cat_7,link_foto,sector,cat_2,cat_3,ruleid,a_cargo_de,sentido,ubicacion,telefono_peaje,telefono_grua,eje_adicional,eje_adicional_r,eje_grua,cat_e_ie,cat_8,cat_9,cat_ie_10,cat_iee,cat_ieee,cat_iia,cat_eae,cat_ec,cat_e,cat_ie,cat_iie,cat_iiie,cat_ive,cat_ve,cat_vie,cat_viie,d_cat_i,d_cat_ii,d_cat_iii,d_cat_iv,d_cat_v,d_cat_vi,d_cat_vii,d_cat_viii,d_cat_ix,d_cat_ie10,d_cat_iee,d_cat_ieee,d_cat_iia,d_cat_eg,d_cat_ear,d_cat_ea,d_cat_eae,d_cat_ec,d_cat_e,d_cat_ie,d_cat_iie,d_cat_iiie,d_cat_ive,d_cat_ve,d_cat_vie,d_cat_viie
-8431603.5241723,980406.186940814,6804,3306,9,300,SAN CARLOS,CONSECION ANI,CORDOBA,106,-75.74,12800,18900,20200,29400,29500, ,Monteria - San Carlos,18900,18900,2,Concesión Ruta al Mar,Aplica en ambos sentidos,"Vía Montería - San Carlos ubicado sobre el Km, 9+700",Sin Numero,3216177100,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,Automóviles - Camperos - Camionetas,Buses,Camiones Pequeños de 2 Ejes,Camiones Grandes de 2 Ejes,Camiones de 3 y 4 Ejes,Camiones de 5 ejes,Camiones de 6 Ejes,,,,,,,,,,,,,,,,,,,
-8197500.32965066,1077995.03218952,3801,4516,40,1927,LA LOMA,CONCESION ANI,CESAR,65,-73.63939838,8100,25100,28500,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,San Roque - Bosconia,9000,19500,2,Concesión Yuma,Sur – Norte,Km 42 Vía San Roque - Bosconia,3158210547,018000945566 Opción 1,9000,8700,6500,0,0,0,0,0,0,0,0,0,0,0,0,9900,12700,14400,0,0,Automoviles y camperos,Camiones y buses 2 ejes pequeños,Camiones y buses 2 ejes grandes,3 y 4 Ejes,5 Ejes, , , , , , , , ,Eje grúa,Eje adicional Remolque,Eje adicional, , , , , , , , , , 
-8048958.19065011,603245.885602427,3799,6513,16,800,ARANGUANEY,INVIAS,CASANARE,144,0,7500,21800,24500,0,0, ,Yopal   -  Paz de Ariporo,8100,17200,5,INVÍAS,Bidireccional,Yopal - Paz de Ariporo Km. 16+800,No Tiene,No Tiene,0,0,0,1100,0,0,0,0,0,0,0,0,0,0,1800,0,0,0,0,0,utomóviles y Camperos,Camiones y Buses 2 ejes pequeños,Camiones y Buses 2 ejes grandes,3 y 4 ejes,5 Ejes, , , , , , , , , , , , , , ,Categoría Especial IE,Categoría Especial IIE, , , , , 
-8325478.84357818,504662.437863535,6404,4508,3,0,GUATAQUÍ,CONSECION ANI,Cundinamarca,0,0,9700,25700,36400,59000,67400, ,Tramo que cubre la via Guataquí - Cambao - Honda,14000,19200,2,Concesión Alto Magdalena,Aplica en ambos sentidos,Km 3 Ruta 45,3219738507,3219738507,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,Automóviles -Camperos - Camionetas,Buses - Busetas - Microbuses,Camiones pequeños 2 Ejes,Camiones Grandes de 2 ejes,Camiones de 3 y 4 Ejes,Camiones de 5 Ejes,Camiones 6 Ejes o Más,,,,,,,,,,,,,,,,,,,
-8305702.54397151,654882.36772939,3808,6005,129,851,PUERTO TRIUNFO,INVIAS,ANTIOQUIA,98,1,12800,21900,43900,62600,62600,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3808.pdf,Santuario - Cruce Ruta 45 (Caño Alegre),20100,17600,5,,Sur – Norte,KM 129+900 RUTA 6005 Autopista  Medellin - Bogota,No cuenta con número,322 384 5814,0,0,0,1000,0,0,1000,0,0,0,0,0,1000,0,1000,1000,1000,1000,1000,0,Categoría I,Categoría II,Categoría III,Categoría IV,Categoría V,Categoría VI,Categoría VII, , ,Categoría Especial VII, , , , , , , , ,Categoría Especial,Categoría Especial I,Categoría Especial II,Categoría Especial III,Categoría Especial IV,Categoría Especial V,Categoría Especial VI, 
-8402961.42339227,1153909.65593318,3806,90BLB,26,328,CORRALITO DE PIEDRA,DISTRITO,BOLÍVAR,10.30964816,-75.4852048,7900,23700,27400,27400,27400,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Vía a Barú,8500,18100,4,CONVIAL,Ambos sentidos de circulación,Variante Mamonal - Gambote,(57) (5)6609002 - 6607822 - 6609125,(57) (5)6609002 - 6607822 - 6609125,0,0,0,2900,0,0,0,0,0,0,0,0,0,0,0,7200,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , 
-8200875.9580671,989434.367757286,3802,4515,28,600,PAILITAS,INVIAS,CESAR,85,1,10000,28900,32900,0,0,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3802.pdf,La Mata - San Roque,10900,22600,5,INVÍAS,Norte – Sur – Norte,Km 28+500 Vía La Mata – San Roque,3165280395, ,10200,10000,7300,4800,0,0,0,0,0,0,0,0,0,4500,200,11200,14300,16300,0,0,Automóviles y camperos,Camiones y buses  ejes,3 Ejes,4 Ejes,5 Ejes, , , , , , , , ,Eje grúa,Eje adicional remolque,Eje adicional, , , , , , , , , , 
-8174287.00614538,1148258.13020385,3798,8003,87,540,VALENCIA,CONCESION ANI,CESAR,133,-73.43076226,8100,25100,28500,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Pueblo Nuevo – Bosconia – Valledupar,9000,19500,2,Yuma Concesionaria,Sur – Norte,Km 87 Vía Pueblo Nuevo – Valledupar,3165280411,018000945566 Opción 1,9000,8700,6500,0,0,0,0,0,0,0,0,0,0,0,0,9900,12700,14400,0,0,Automóviles y camperos,Camiones y buses 2 ejes pequeños,Camiones y buses 2 ejes grandes,3 y 4 Ejes,5 Ejes, , , , , , , , ,Eje grúa,Eje adicional remolque,Eje adicional, , , , , , , , , , 
-8152887.86350601,1132652.05757069,3889,4901,105,250,SAN DIEGO,INVIAS,CESAR,10.12172583,1,4900,6200,13000,37600,42700,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3889.pdf,San Roque - La Paz,5300,5800,5,INVIAS,Aplica en ambos sentidos de circulación,Tramo que cubre:Vía Aguztín Codazzi - San Diego,,,0,0,0,3300,0,0,0,0,0,0,0,0,0,3100,0,0,0,25900,0,0,"Automóviles, camperos y camionetas",Buses,Camiones pequeños de 2 ejes,Camiones grandes de 2 ejes,Camiones de 3 ejes,Camiones de 4 ejes,Camiones de 5 ejes, , , , , , , , , , , , ,Categoría especial IE, , , ,Categoría especial VE, , 
-8229162.98752013,1125713.8597937,3809,4517,10,448,EL COPEY,CONCESION ANI,CESAR,39,-73.92382887,7900,26700,30900,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Bosconia - Río Ariguaní,8700,20300,2,Yuma Concesionaria,Sur – Norte,Km 10+300 Vía Bosconia – Rio Ariguani,3165280504,018000945566 Opción 1,9500,9100,6500,0,0,0,0,0,0,0,0,0,0,0,0,10300,13500,15600,0,0,Automóviles y camperos,Camiones y buses 2 ejes pequeños,Camiones y buses 2 ejes grandes,3 y 4 Ejes,5 Ejes, , , , , , , , ,Eje grúa,Eje adicional remolque,Eje adicional, , , , , , , , , , 
