f1,f2,f3,f4,f5,f6,f7,objectId,codigo_mun,EXCEL_ID,women
25817,Tocancipá,33677,14449,19228,16817,16860,2,25817,92e21759-51e4-4986-a97c-e3f751294f07,-16860
25823,Topaipí,4504,821,3683,2427,2077,3,25823,e3ae4aaf-4743-4467-9281-78b89c604558,-2077
25839,Ubalá,10467,1283,9184,5744,4723,4,25839,ca19889a-543a-47d2-9557-12eb6e147702,-4723
25841,Ubaque,6036,879,5157,3139,2897,5,25841,c5ab3793-4d46-4d62-93c4-246e4ab0d0a9,-2897
25843,Ubate,39205,25532,13673,19085,20120,6,25843,98df4af6-8e30-471e-a58d-c324b2cc6e17,-20120
25845,Une,9435,4718,4717,4710,4725,7,25845,1b349d80-450d-48eb-acf0-7dd41e1d3b14,-4725
25851,Útica,5023,2750,2273,2507,2516,8,25851,05b4a698-d2e7-4230-bf02-7855511268fe,-2516
25862,Vergara,7704,1565,6139,3844,3860,9,25862,1c42d5f7-9da6-468d-9da8-6eea0a40310c,-3860
25867,Vianí,4214,1349,2865,2065,2149,10,25867,b49508aa-c377-4297-a73b-7f70d0ef7b5d,-2149
25871,Villagómez,2166,627,1539,1049,1117,11,25871,2515af9b-11c7-48bf-a24b-b8dc215a851b,-1117
25873,Villapinzón,20391,6759,13632,10512,9879,12,25873,1e14f7d7-6eac-400e-b682-5170bd35deef,-9879
25875,Villeta,25381,16403,8978,12657,12724,13,25875,2bb9107b-bdef-4b20-adb7-b399a924347f,-12724
25878,Viotá,13339,4389,8950,6659,6680,14,25878,8a62d2c3-2114-4a2e-9105-8bbab2226679,-6680
25885,Yacopí,17067,4046,13021,8569,8498,15,25885,e30fe8da-74d3-4efb-8010-8f65b82feffe,-8498
25899,Zipaquirá,126409,111025,15384,62227,64182,17,25899,e805d2f2-c815-45c4-9825-3ade234f8c6c,-64182
25001,Agua de Dios,10823,8340,2483,5468,5355,18,25001,043f81ec-d1ae-4601-bc42-23e7d1b7bd8c,-5355
25035,Anapoima,13713,5892,7821,6857,6856,20,25035,5161134e-0683-4891-8d31-acca7a437fe5,-6856
25053,Arbeláez,12374,5365,7009,6404,5970,22,25053,f76047c5-d9f8-4bc9-953d-61a1c2d32993,-5970
25086,Beltrán,2256,449,1807,1102,1154,23,25086,0e666b53-e8c5-4446-85ce-8f2fb7ecee10,-1154
25095,Bituima,2500,446,2054,1305,1195,24,25095,0defe501-26a7-4ff4-b3bb-4f7b2770dee1,-1195
25099,Bojacá,12140,9764,2376,6096,6044,25,25099,90263965-aaf3-4696-bdeb-26ea9d03c4a6,-6044
25120,Cabrera,4456,1050,3406,2137,2319,26,25120,c0080379-88aa-4806-be39-24db101ee060,-2319
25126,Cajicá,59198,37365,21833,29657,29541,28,25126,3650cf79-19e6-47f2-bbdb-d9dab9fbfc54,-29541
25148,Caparrapí,16720,2762,13958,8995,7725,29,25148,2eed48f6-442c-4cc6-8ade-4a2eba31320c,-7725
25151,Caqueza,17214,7482,9732,8793,8421,30,25151,9738c31d-5035-4265-8d72-607d64195386,-8421
